"Season","Conference","Player","Team","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
2021,"All Division I","Aalia Bivens","UT Martin",0.323,0.392,0.449,0.84,46,155,127,23,41,13,0,1,15,3,12,15,2,0
2021,"All Division I","Aaliyah Jordan","UCLA",0.319,0.458,0.567,1.025,51,179,141,36,45,9,1,8,32,4,33,18,3,1
2021,"All Division I","Aaliyah Swan","Cal State Northridge",0.27,0.329,0.324,0.654,26,84,74,8,20,4,0,0,5,0,7,23,5,1
2021,"All Division I","Abbey Jacobsen","Loyola Chicago",0.211,0.244,0.211,0.454,42,120,114,7,24,0,0,0,5,1,4,21,0,1
2021,"All Division I","Abbey Latham","Ole Miss",0.305,0.371,0.489,0.86,58,195,174,25,53,11,0,7,36,4,15,40,7,1
2021,"All Division I","Abbey Montoya","Coastal Carolina",0.284,0.363,0.45,0.812,39,130,109,18,31,2,2,4,15,2,12,12,6,1
2021,"All Division I","Abby Ehrenborg","Dayton",0.359,0.386,0.788,1.174,46,167,156,26,56,13,0,18,41,1,7,10,0,0
2021,"All Division I","Abby Frank","Incarnate Word",0.242,0.319,0.315,0.633,41,143,124,19,30,4,1,1,14,2,12,15,7,0
2021,"All Division I","Abrianna Gracia","Western Illinois",0.269,0.321,0.279,0.6,36,117,104,6,28,1,0,0,7,3,5,15,0,0
2021,"All Division I","Abby Herbst","Wisconsin",0.205,0.327,0.261,0.588,32,106,88,4,18,5,0,0,13,2,14,19,0,0
2021,"All Division I","Abby Krzywiecki","South Alabama",0.263,0.336,0.525,0.861,41,134,118,15,31,4,0,9,30,2,11,36,0,0
2021,"All Division I","Abby Sweet","Notre Dame",0.438,0.531,0.705,1.237,48,176,146,43,64,18,3,5,23,18,11,9,20,2
2021,"All Division I","Abby Wilson","Radford",0.24,0.341,0.396,0.737,54,184,154,20,37,9,0,5,27,4,21,25,4,2
2021,"All Division I","Abby Wingo","Seton Hall",0.258,0.295,0.404,0.699,30,97,89,10,23,5,1,2,12,0,5,17,0,0
2021,"All Division I","Abi Ledbetter","Belmont",0.286,0.333,0.365,0.698,41,139,126,10,36,5,1,1,12,3,7,22,1,0
2021,"All Division I","Abi Stahlhut","Eastern Illinois",0.174,0.247,0.261,0.508,38,79,69,3,12,3,0,1,13,4,3,21,0,0
2021,"All Division I","Abigail Amato","Merrimack",0.273,0.314,0.561,0.875,23,70,66,7,18,5,1,4,14,1,3,14,0,1
2021,"All Division I","Addi Burke","Valparaiso",0.239,0.32,0.321,0.641,40,128,109,9,26,6,0,1,8,3,10,16,2,1
2021,"All Division I","Addie Kittel","Lehigh",0.21,0.246,0.306,0.553,26,66,62,2,13,6,0,0,4,0,3,9,0,0
2021,"All Division I","Addie Pate","Western Carolina",0.183,0.292,0.317,0.609,46,122,104,14,19,5,0,3,13,2,14,13,0,0
2021,"All Division I","Adriana Barlow","Miami (OH)",0.305,0.397,0.598,0.994,55,194,164,34,50,12,0,12,55,4,23,41,2,0
2021,"All Division I","Adrianna Noriega","Fresno State",0.328,0.353,0.557,0.91,48,142,131,29,43,8,2,6,31,2,4,28,8,1
2021,"All Division I","Adrienne Chang","Princeton",0,0,0,0,3,10,9,0,0,0,0,0,0,0,0,0,0,0
2021,"All Division I","Adrienne Nardone","Colgate",0.357,0.418,0.586,1.003,32,79,70,8,25,4,0,4,16,0,8,14,1,0
2021,"All Division I","Aeriyl Mass","Southeastern Louisiana",0.369,0.414,0.5,0.914,51,194,176,39,65,10,2,3,30,1,13,15,29,5
2021,"All Division I","Aileen Garcia","UT Arlington",0.192,0.263,0.274,0.536,50,163,146,13,28,3,0,3,20,1,13,21,2,0
2021,"All Division I","Alaena Selden","Delaware State",0.241,0.267,0.241,0.508,30,91,87,3,21,0,0,0,8,2,1,7,0,0
2021,"All Division I","Alaina York","Robert Morris",0.294,0.344,0.361,0.705,43,135,119,22,35,6,1,0,13,2,8,14,3,0
2021,"All Division I","Alana Cobb-Adams","SIUE",0.313,0.367,0.485,0.852,39,151,134,34,42,8,3,3,16,0,12,23,17,0
2021,"All Division I","Alana Collins","East Tennessee State",0.232,0.277,0.284,0.561,30,101,95,11,22,2,0,1,4,1,5,9,0,0
2021,"All Division I","Alannah Cran","Illinois-Chicago",0.281,0.323,0.43,0.753,44,132,121,19,34,8,2,2,21,3,5,29,5,0
2021,"All Division I","Alayis Seneca","McNeese",0.307,0.328,0.362,0.69,49,136,127,18,39,3,2,0,7,1,3,4,8,1
2021,"All Division I","Aleah Marra","Toledo",0.31,0.378,0.414,0.792,49,165,145,20,45,10,1,1,25,2,15,22,4,3
2021,"All Division I","Aleix Hudson","Bryant",0.318,0.403,0.5,0.903,24,77,66,9,21,6,0,2,9,3,7,11,1,0
2021,"All Division I","Alesia Denby","Fresno State",0.22,0.29,0.323,0.612,49,146,127,21,28,6,2,1,13,2,12,24,9,3
2021,"All Division I","Alesia Ranches","Iowa State",0.24,0.333,0.344,0.677,55,177,154,25,37,7,0,3,21,3,19,34,10,3
2021,"All Division I","Alessandra Ponce","George Washington",0.303,0.379,0.613,0.991,48,169,142,28,43,6,1,12,58,3,18,21,3,0
2021,"All Division I","Alex Boze","Missouri State",0.2,0.363,0.425,0.788,36,104,80,7,16,3,0,5,17,5,16,21,1,0
2021,"All Division I","Alex DeLeon","Youngstown State",0.333,0.453,0.409,0.863,51,176,132,38,44,6,2,0,18,17,12,14,2,0
2021,"All Division I","Alex Hedspeth","Stephen F. Austin",0.264,0.402,0.396,0.798,41,140,106,22,28,5,0,3,17,20,5,16,8,3
2021,"All Division I","Alex Pleasic","Rhode Island",0.226,0.305,0.528,0.833,22,59,53,11,12,4,0,4,13,1,5,22,0,0
2021,"All Division I","Alexa Milius","Virginia Tech",0.32,0.391,0.577,0.968,42,112,97,17,31,4,0,7,22,1,11,15,3,0
2021,"All Division I","Alexia Lara","Drake",0.213,0.26,0.287,0.547,38,101,94,7,20,5,1,0,11,1,5,20,0,0
2021,"All Division I","Alexis Arrendondo","Jackson State",0.311,0.431,0.367,0.798,33,109,90,14,28,5,0,0,12,6,13,15,1,0
2021,"All Division I","Alexis D'Ambrosio","Kansas City",0.279,0.313,0.386,0.699,48,150,140,21,39,7,1,2,11,3,4,19,5,0
2021,"All Division I","Alexis Genovese","Coppin State",0.222,0.232,0.333,0.565,26,84,81,6,18,6,0,1,8,0,1,6,0,1
